"country_code","country","year","population"
"BRA","Brazil",2000,174018282
"BRA","Brazil",2001,176301203
"BRA","Brazil",2002,178503484
"BRA","Brazil",2003,180622688
"BRA","Brazil",2004,182675143
"BRA","Brazil",2005,184688101
"BRA","Brazil",2006,186653106
"BRA","Brazil",2007,188552320
"BRA","Brazil",2008,190367302
"BRA","Brazil",2009,192079951
"BRA","Brazil",2010,193701929
"BRA","Brazil",2011,195284734
"BRA","Brazil",2012,196876111
"BRA","Brazil",2013,198478299
"BRA","Brazil",2014,200085127
"BRA","Brazil",2015,201675532
"BRA","Brazil",2016,203218114
"BRA","Brazil",2017,204703445
"BRA","Brazil",2018,206107261
"BRA","Brazil",2019,207455459
"BRA","Brazil",2020,208660842
"BRA","Brazil",2021,209550294
"BRA","Brazil",2022,210306415
"BRA","Brazil",2023,211140729
"CHN","China",2000,1262645000
"CHN","China",2001,1271850000
"CHN","China",2002,1280400000
"CHN","China",2003,1288400000
"CHN","China",2004,1296075000
"CHN","China",2005,1303720000
"CHN","China",2006,1311020000
"CHN","China",2007,1317885000
"CHN","China",2008,1324655000
"CHN","China",2009,1331260000
"CHN","China",2010,1337705000
"CHN","China",2011,1345035000
"CHN","China",2012,1354190000
"CHN","China",2013,1363240000
"CHN","China",2014,1371860000
"CHN","China",2015,1379860000
"CHN","China",2016,1387790000
"CHN","China",2017,1396215000
"CHN","China",2018,1402760000
"CHN","China",2019,1407745000
"CHN","China",2020,1411100000
"CHN","China",2021,1412360000
"CHN","China",2022,1412175000
"CHN","China",2023,1410710000
"IND","India",2000,1057922733
"IND","India",2001,1077898575
"IND","India",2002,1097600380
"IND","India",2003,1116803006
"IND","India",2004,1135991513
"IND","India",2005,1154676322
"IND","India",2006,1172878890
"IND","India",2007,1190676021
"IND","India",2008,1207930964
"IND","India",2009,1225524753
"IND","India",2010,1243481564
"IND","India",2011,1261224954
"IND","India",2012,1278674502
"IND","India",2013,1295829511
"IND","India",2014,1312277191
"IND","India",2015,1328024498
"IND","India",2016,1343944296
"IND","India",2017,1359657400
"IND","India",2018,1374659064
"IND","India",2019,1389030312
"IND","India",2020,1402617695
"IND","India",2021,1414203896
"IND","India",2022,1425423212
"IND","India",2023,1438069596
"USA","United States",2000,282162411
"USA","United States",2001,284968955
"USA","United States",2002,287625193
"USA","United States",2003,290107933
"USA","United States",2004,292805298
"USA","United States",2005,295516599
"USA","United States",2006,298379912
"USA","United States",2007,301231207
"USA","United States",2008,304093966
"USA","United States",2009,306771529
"USA","United States",2010,309378227
"USA","United States",2011,311839461
"USA","United States",2012,314339099
"USA","United States",2013,316726282
"USA","United States",2014,319257560
"USA","United States",2015,321815121
"USA","United States",2016,324353340
"USA","United States",2017,326608609
"USA","United States",2018,328529577
"USA","United States",2019,330226227
"USA","United States",2020,331578104
"USA","United States",2021,332100166
"USA","United States",2022,333996304
"USA","United States",2023,336755052
"ZAF","South Africa",2000,47159719
"ZAF","South Africa",2001,47566800
"ZAF","South Africa",2002,48019415
"ZAF","South Africa",2003,48500348
"ZAF","South Africa",2004,48991421
"ZAF","South Africa",2005,49490033
"ZAF","South Africa",2006,49998277
"ZAF","South Africa",2007,50528584
"ZAF","South Africa",2008,51114599
"ZAF","South Africa",2009,51728516
"ZAF","South Africa",2010,52344051
"ZAF","South Africa",2011,52995205
"ZAF","South Africa",2012,53782567
"ZAF","South Africa",2013,54678791
"ZAF","South Africa",2014,55594838
"ZAF","South Africa",2015,56723537
"ZAF","South Africa",2016,57259551
"ZAF","South Africa",2017,57635162
"ZAF","South Africa",2018,58613001
"ZAF","South Africa",2019,59587885
"ZAF","South Africa",2020,60562381
"ZAF","South Africa",2021,61502603
"ZAF","South Africa",2022,62378410
"ZAF","South Africa",2023,63212384
